iter	Passed	Remaining
640	1454	814
641	1456	812
642	1458	809
643	1460	807
644	1462	804
645	1464	802
646	1465	799
647	1467	797
648	1469	794
649	1470	791
650	1472	789
651	1475	787
652	1477	785
653	1478	782
654	1481	780
655	1482	777
656	1484	775
657	1486	772
658	1488	770
659	1490	767
660	1492	765
661	1493	762
662	1495	760
663	1497	757
664	1499	755
665	1501	752
666	1503	750
667	1506	748
668	1508	746
669	1509	743
670	1511	741
671	1512	738
672	1514	735
673	1516	733
674	1517	730
675	1519	728
676	1521	725
677	1523	723
678	1525	720
679	1526	718
680	1528	715
681	1529	713
682	1530	710
683	1532	708
684	1534	705
685	1536	703
686	1539	701
687	1541	699
688	1543	696
689	1546	694
690	1547	692
691	1549	689
692	1551	687
693	1554	685
694	1556	683
695	1557	680
696	1559	678
697	1561	675
698	1563	673
699	1565	670
700	1568	669
701	1570	666
702	1572	664
703	1574	662
704	1577	659
705	1578	657
706	1580	655
707	1582	652
708	1583	649
709	1586	647
710	1588	645
711	1590	643
712	1591	640
713	1593	638
714	1595	635
715	1596	633
716	1598	630
717	1599	628
718	1602	626
719	1604	623
720	1606	621
721	1608	619
722	1610	617
723	1613	614
724	1615	612
725	1618	610
726	1621	608
727	1622	606
728	1624	603
729	1626	601
730	1628	599
731	1630	596
732	1631	594
733	1633	592
734	1637	590
735	1638	587
736	1640	585
737	1642	583
738	1644	580
739	1645	578
740	1647	575
741	1648	573
742	1650	570
743	1652	568
744	1653	565
745	1654	563
746	1657	561
747	1658	558
748	1660	556
749	1661	553
750	1663	551
751	1665	549
752	1668	547
753	1672	545
754	1674	543
755	1676	541
756	1679	539
757	1680	536
758	1682	534
759	1684	531
760	1686	529
761	1687	527
762	1689	524
763	1691	522
764	1693	520
765	1694	517
766	1696	515
767	1699	513
768	1700	510
769	1703	508
770	1705	506
771	1706	504
772	1708	501
773	1710	499
774	1712	497
775	1714	494
776	1716	492
777	1718	490
778	1720	488
779	1721	485
780	1723	483
781	1724	480
782	1727	478
783	1729	476
784	1732	474
785	1734	472
786	1736	469
787	1738	467
788	1740	465
789	1742	463
790	1745	461
791	1747	458
792	1749	456
793	1750	454
794	1752	451
795	1754	449
796	1755	447
797	1757	444
798	1759	442
799	1760	440
800	1763	438
801	1765	435
802	1767	433
803	1768	431
804	1770	428
805	1772	426
806	1774	424
807	1776	422
808	1778	419
809	1780	417
810	1782	415
811	1784	413
812	1786	410
813	1788	408
814	1790	406
815	1791	403
816	1793	401
817	1795	399
818	1797	397
819	1798	394
820	1801	392
821	1803	390
822	1806	388
823	1807	386
824	1809	383
825	1811	381
826	1813	379
827	1815	377
828	1816	374
829	1818	372
830	1819	370
831	1821	367
832	1823	365
833	1824	363
834	1826	360
835	1828	358
836	1829	356
837	1831	354
838	1833	351
839	1835	349
840	1836	347
841	1838	344
842	1840	342
843	1842	340
844	1844	338
845	1846	336
846	1848	333
847	1850	331
848	1851	329
849	1854	327
850	1855	324
851	1857	322
852	1860	320
853	1862	318
854	1864	316
855	1866	313
856	1869	311
857	1872	309
858	1873	307
859	1876	305
860	1878	303
861	1881	301
862	1882	298
863	1884	296
864	1886	294
865	1888	292
866	1890	289
867	1893	287
868	1894	285
869	1896	283
870	1898	281
871	1900	279
872	1902	276
873	1904	274
874	1906	272
875	1908	270
876	1910	267
877	1912	265
878	1914	263
879	1915	261
880	1917	259
881	1919	256
882	1921	254
883	1923	252
884	1925	250
885	1927	248
886	1928	245
887	1930	243
888	1932	241
889	1934	239
890	1936	236
891	1937	234
892	1940	232
893	1942	230
894	1944	228
895	1946	225
896	1947	223
897	1949	221
898	1951	219
899	1953	217
900	1954	214
901	1956	212
902	1958	210
903	1960	208
904	1962	206
905	1965	203
906	1966	201
907	1968	199
908	1969	197
909	1973	195
910	1975	192
911	1976	190
912	1978	188
913	1980	186
914	1982	184
915	1984	181
916	1985	179
917	1988	177
918	1990	175
919	1992	173
920	1993	171
921	1995	168
922	1997	166
923	1999	164
924	2000	162
925	2003	160
926	2006	157
927	2008	155
928	2010	153
929	2011	151
930	2013	149
931	2015	147
932	2017	144
933	2018	142
934	2020	140
935	2022	138
936	2023	136
937	2025	133
938	2026	131
939	2029	129
940	2030	127
941	2032	125
942	2033	122
943	2035	120
944	2036	118
945	2038	116
946	2039	114
947	2041	111
948	2042	109
949	2043	107
950	2044	105
951	2046	103
952	2047	100
953	2049	98
954	2052	96
955	2054	94
956	2056	92
957	2058	90
958	2059	88
959	2061	85
960	2064	83
961	2067	81
962	2068	79
963	2071	77
964	2072	75
965	2073	72
966	2074	70
967	2076	68
968	2077	66
969	2078	64
970	2079	62
971	2080	59
972	2081	57
973	2082	55
974	2085	53
975	2086	51
976	2087	49
977	2088	46
978	2089	44
979	2090	42
980	2091	40
981	2092	38
982	2094	36
983	2095	34
984	2096	31
985	2097	29
986	2098	27
987	2099	25
988	2100	23
989	2101	21
990	2102	19
991	2103	16
992	2104	14
993	2105	12
994	2105	10
995	2106	8
996	2107	6
997	2108	4
998	2109	2
999	2110	0
